,Month,Revenue_25,Revenue_50,Revenue_75,Revenue90Percentile,ADR_25,ADR_50,ADR_75,ADR90Percentile,AvgOccupancy,Occ25Percentile,Occ75Percentile,NoListingUsed
0,Jan,92.7,889.7,1720.0,2418.6,44.3,80.0,104.2,128.4,38.7,3.3,74.2,259
1,Feb,444.7,1097.7,1695.5,2393.5,59.0,84.6,112.8,133.4,49.0,16.3,79.0,266
2,Mar,1529.3,2192.6,2864.9,3668.2,78.8,106.1,133.8,162.3,77.4,51.6,90.3,281
3,Apr,1829.7,2413.7,3089.6,3806.2,91.1,107.9,128.8,152.3,85.2,63.8,96.7,223
4,May,1901.8,2553.2,3225.0,3846.6,91.6,113.7,136.1,162.3,83.9,65.0,93.5,231
5,Jun,2050.6,2598.1,3112.1,3752.3,96.8,121.0,140.0,170.9,85.2,73.1,93.3,208
6,Jul,1563.7,2183.1,2739.3,3386.9,82.7,107.7,130.2,147.1,79.3,53.3,93.4,222
7,Aug,1027.7,1912.8,2418.1,2954.8,75.3,99.4,121.7,140.7,71.0,35.5,89.7,241
8,Sep,1094.9,1799.0,2391.9,2875.4,73.4,98.0,117.3,142.9,70.0,36.7,89.5,235
9,Oct,1740.1,2201.9,2771.1,3399.5,88.7,106.2,129.7,147.2,77.4,57.5,92.6,232
10,Nov,641.8,1361.6,2087.1,2618.8,76.7,96.7,115.3,136.0,53.6,20.0,80.0,225
11,Dec,122.6,1150.3,1890.2,2447.4,54.9,83.7,107.6,132.9,48.4,6.5,74.0,250
